0,1,2,3,4,5
egg,cheese,bacon,,,
sausage,biscuit,gravy,,,
egg,cheese,ham,,,
egg,cheese,,,,
ham,english muffin,cheese,egg,,
egg,cheese,ham,,,
egg,cheese,bacon,,,
sausage,biscuit,gravy,,,
biscuit,gravy,,,,
bacon,biscuit,gravy,,,
avocado,white bread,,,,
egg,cheese,ham,,,
sausage,english muffin,cheese,egg,,
egg,cheese,ham,,,
ham,english muffin,cheese,,,
bacon,biscuit,gravy,,,
egg,cheese,ham,,,
oatmeal,bacon,,,,
ham,english muffin,cheese,egg,,
oatmeal,bacon,,,,
bacon,biscuit,gravy,,,
oatmeal,bacon,,,,
egg,cheese,bacon,,,
egg,cheese,,,,
jelly,biscuit,,,,
jelly,biscuit,,,,
sausage,english muffin,cheese,egg,,
avocado,white bread,,,,
egg,cheese,ham,,,
avocado,white bread,,,,
biscuit,gravy,,,,
sausage,english muffin,cheese,egg,,
ham,english muffin,cheese,,,
avocado,white bread,,,,
jelly,white bread,,,,
oatmeal,bacon,,,,
jelly,white bread,,,,
english muffin,avocado,ham,gravy,bacon,sausage
sausage,english muffin,cheese,egg,,
egg,cheese,,,,
egg,cheese,,,,
oatmeal,bacon,,,,
jelly,white bread,,,,
avocado,white bread,,,,
sausage,biscuit,gravy,,,
sausage,english muffin,cheese,egg,,
sausage,biscuit,gravy,,,
sausage,english muffin,cheese,egg,,
avocado,white bread,,,,
ham,english muffin,cheese,egg,,
biscuit,gravy,,,,
oatmeal,jelly,,,,
jelly,biscuit,,,,
jelly,white bread,,,,
jelly,biscuit,,,,
sausage,biscuit,gravy,,,
biscuit,gravy,,,,
jelly,white bread,,,,
sausage,biscuit,gravy,,,
sausage,biscuit,gravy,,,
ham,english muffin,cheese,egg,,
egg,cheese,ham,,,
egg,cheese,,,,
sausage,english muffin,cheese,egg,,
ham,english muffin,cheese,egg,,
ham,english muffin,cheese,egg,,
egg,cheese,,,,
biscuit,gravy,,,,
bacon,biscuit,gravy,,,
jelly,biscuit,,,,
egg,cheese,bacon,,,
egg,cheese,,,,
sausage,english muffin,cheese,egg,,
avocado,white bread,,,,
egg,cheese,bacon,,,
egg,cheese,,,,
egg,cheese,bacon,,,
bacon,biscuit,gravy,,,
oatmeal,bacon,,,,
sausage,biscuit,gravy,,,
egg,cheese,bacon,,,
egg,cheese,bacon,,,
bacon,biscuit,gravy,,,
bacon,biscuit,gravy,,,
sausage,biscuit,gravy,,,
egg,cheese,bacon,,,
jelly,biscuit,,,,
bacon,biscuit,gravy,,,
egg,cheese,,,,
egg,cheese,,,,
sausage,english muffin,cheese,egg,,
egg,cheese,,,,
